
 REGION_ID    DEPT_ID PRODUCT_ID     EMP_ID EMP_QTY_SOLD REGION_PROD_TOTAL  RATIO2RPT
       103        201         15       1045         3512           1865283 .001882824
       103        203         13       1095         3475           1844543 .001883935
       103        203         14       1075         3500           1857434  .00188432
       103        202         16       1022         3515           1865345  .00188437
       102        203         12       1054         3487           1849090 .001885792
       101        202         17       1019         3508           1859788 .001886236
       101        203         13       1014         3484           1846182 .001887138
       103        201         17       1039         3494           1851415 .001887205
       103        204         11       1013         3469           1837811 .001887572
       102        204         11       1001         3494           1850494 .001888144
       101        202         16       1043         3498           1852607  .00188815
       101        202         16       1085         3498           1852607  .00188815
       103        203         13       1009         3483           1844543 .001888273
       101        202         14       1026         3484           1844866 .001888484
       102        203         11       1062         3495           1850494 .001888685
       102        204         15       1045         3481           1842759 .001889015
       102        203         10       1037         3509           1857548 .001889049
       101        204         10       1008         3507           1856153 .001889392
       102        204         17       1099         3485           1844241 .001889666
       102        204         13       1045         3482           1842160 .001890172
       102        202         17       1025         3487           1844241 .001890751
       103        204         14       1041         3513           1857434 .001891319
       103        203         11       1030         3476           1837811 .001891381
       102        204         12       1025         3503           1849090 .001894445
       103        204         17       1033         3508           1851415 .001894767
       101        201         12       1031         3519           1856359 .001895646
       103        203         15       1050         3536           1865283 .001895691
       102        203         17       1013         3497           1844241 .001896173
       102        202         13       1013         3496           1842160 .001897772
       101        204         15       1054         3538           1863293 .001898789
       101        202         18       1056         3510           1847731 .001899627
       103        204         17       1016         3517           1851415 .001899628
       101        203         10       1028         3528           1856153 .001900705
       102        204         13       1022         3502           1842160 .001901029
       102        202         14       1098         3552           1868309 .001901184
       103        204         15       1070         3547           1865283 .001901588
       101        202         17       1021         3537           1859788  .00190183
       102        202         17       1063         3508           1844241 .001902138
       101        202         12       1047         3532           1856359 .001902649
       102        204         14       1012         3555           1868309  .00190279
       101        202         16       1014         3529           1852607 .001904883
       101        203         16       1025         3530           1852607 .001905423
       103        203         16       1084         3555           1865345 .001905814
       101        203         12       1082         3540           1856359 .001906959
       102        204         11       1042         3530           1850494 .001907599
       102        201         12       1040         3529           1849090 .001908506
       102        204         13       1035         3516           1842160 .001908629
       103        204         18       1059         3554           1860696 .001910038
       102        203         14       1036         3569           1868309 .001910284
       101        201         11       1010         3525           1843273 .001912359
       101        202         11       1093         3525           1843273 .001912359
       102        204         16       1063         3530           1845178 .001913095
       103        201         14       1077         3556           1857434 .001914469
       101        204         18       1046         3538           1847731 .001914781
       102        203         16       1057         3534           1845178 .001915262
       103        203         18       1061         3564           1860696 .001915412
       102        201         14       1053         3579           1868309 .001915636
       102        201         14       1047         3584           1868309 .001918312
       103        204         15       1006         3581           1865283 .001919816
       102        203         12       1026         3550           1849090 .001919863
       101        201         15       1052         3579           1863293 .001920793
       101        201         17       1037         3576           1859788   .0019228
       103        201         17       1024         3560           1851415 .001922854
       103        204         18       1095         3578           1860696 .001922936
       103        201         14       1058         3572           1857434 .001923083
       103        204         17       1015         3561           1851415 .001923394
       102        202         14       1051         3595           1868309   .0019242
       103        202         11       1070         3537           1837811 .001924572
       103        201         13       1062         3551           1844543 .001925138
       102        203         11       1040         3564           1850494 .001925972
       103        202         12       1062         3556           1846140 .001926181
       103        204         10       1001         3541           1838179 .001926363
       103        204         16       1074         3595           1865345 .001927257
       103        204         15       1077         3596           1865283 .001927858
       103        203         18       1050         3589           1860696 .001928848
       103        202         11       1073         3545           1837811 .001928925
       101        204         14       1057         3561           1844866 .001930221
       102        202         16       1092         3562           1845178 .001930437
       101        201         13       1093         3565           1846182 .001931012
       103        202         11       1058         3550           1837811 .001931646
       101        202         12       1098         3586           1856359 .001931738
       103        202         13       1050         3566           1844543  .00193327
       103        202         16       1083         3607           1865345 .001933691
       103        203         17       1040         3581           1851415 .001934196
       102        204         10       1059         3594           1857548 .001934809
       103        201         16       1013         3610           1865345 .001935299
       102        201         16       1083         3571           1845178 .001935315
       103        201         15       1044         3610           1865283 .001935363
       102        203         18       1050         3591           1855012 .001935837
       101        201         11       1022         3570           1843273 .001936772
       101        202         18       1038         3579           1847731  .00193697
       102        204         12       1072         3582           1849090 .001937169
       101        203         14       1029         3574           1844866 .001937268
       101        203         18       1061         3582           1847731 .001938594
       101        203         15       1058         3613           1863293  .00193904
       102        203         18       1091         3598           1855012  .00193961
       102        204         14       1045         3625           1868309 .001940257
       102        201         14       1049         3626           1868309 .001940792
       103        202         18       1081         3612           1860696 .001941209
       101        201         13       1061         3585           1846182 .001941845
       103        203         11       1004         3569           1837811 .001941984
       102        204         18       1030         3604           1855012 .001942845
       103        204         14       1038         3610           1857434 .001943541
       103        204         16       1055         3627           1865345 .001944412
       101        201         17       1059         3617           1859788 .001944845
       101        202         15       1070         3624           1863293 .001944944
       102        202         10       1040         3613           1857548 .001945037
       103        203         15       1060         3629           1865283 .001945549
       101        201         18       1014         3595           1847731  .00194563
       102        203         12       1007         3598           1849090 .001945822
       101        202         14       1010         3591           1844866 .001946483
       103        201         14       1052         3616           1857434 .001946772
       101        201         12       1028         3616           1856359 .001947899
       101        203         14       1022         3595           1844866 .001948651
       102        201         10       1021         3620           1857548 .001948806
       101        204         16       1091         3611           1852607 .001949145
       102        203         17       1019         3595           1844241 .001949311
       101        203         16       1044         3612           1852607 .001949685
       102        203         15       1075         3593           1842759 .001949794
       101        203         17       1004         3627           1859788 .001950222
       101        202         12       1027         3622           1856359 .001951131
       103        201         10       1085         3588           1838179 .001951932
       101        201         18       1032         3607           1847731 .001952124
       103        203         13       1019         3601           1844543 .001952245
       101        203         10       1089         3624           1856153 .001952425
       103        203         15       1061         3642           1865283 .001952519
       102        203         11       1064         3614           1850494 .001952992
       101        203         15       1060         3640           1863293 .001953531
       101        203         16       1065         3620           1852607 .001954003
       102        201         16       1087         3607           1845178 .001954825
       101        202         11       1012         3604           1843273 .001955218
       101        202         14       1060         3608           1844866 .001955698
       103        201         17       1083         3621           1851415 .001955801
       101        202         18       1025         3615           1847731 .001956454
       102        204         14       1026         3657           1868309 .001957385
       102        201         17       1074         3611           1844241 .001957987
       102        204         16       1049         3613           1845178 .001958077
       103        203         16       1012         3653           1865345 .001958351
       101        204         17       1068         3643           1859788 .001958825
       103        203         15       1084         3657           1865283  .00196056
       101        204         13       1072         3620           1846182 .001960803
       102        201         10       1026         3643           1857548 .001961188
       102        203         12       1051         3627           1849090 .001961505
       101        204         15       1033         3658           1863293 .001963191
       103        201         10       1012         3609           1838179 .001963356
       102        201         18       1062         3644           1855012 .001964408
       102        202         15       1008         3620           1842759 .001964446
       102        201         14       1037         3673           1868309 .001965949
       101        204         14       1082         3627           1844866 .001965996
       101        202         11       1031         3625           1843273  .00196661
       101        202         13       1004         3631           1846182 .001966762
       102        201         11       1054         3640           1850494 .001967042
       103        201         12       1034         3632           1846140 .001967348
       103        201         18       1092         3662           1860696 .001968081
       102        201         13       1089         3627           1842160 .001968884
       102        201         14       1005         3679           1868309  .00196916
       102        204         14       1041         3679           1868309  .00196916
       102        201         14       1052         3680           1868309 .001969696
       103        204         16       1045         3676           1865345 .001970681
       103        203         12       1083         3639           1846140  .00197114
       103        201         18       1080         3668           1860696 .001971305
       101        201         14       1009         3638           1844866 .001971959
       101        201         11       1028         3635           1843273 .001972036
       102        203         14       1072         3685           1868309 .001972372
       101        203         11       1066         3637           1843273 .001973121
       102        201         17       1021         3639           1844241 .001973169
       103        204         17       1058         3654           1851415 .001973626
       101        201         13       1092         3644           1846182 .001973803
       103        202         16       1027         3682           1865345 .001973898
       102        202         14       1075         3688           1868309 .001973978
       103        202         15       1066         3685           1865283 .001975572
       102        203         14       1033         3691           1868309 .001975583
       101        202         13       1089         3648           1846182  .00197597
       101        203         17       1075         3675           1859788 .001976032
       102        204         13       1044         3642           1842160 .001977027
       101        203         13       1022         3650           1846182 .001977053
       103        202         12       1033         3650           1846140 .001977098
       102        204         18       1095         3670           1855012 .001978424
       103        201         10       1050         3637           1838179 .001978589
       101        202         12       1069         3673           1856359 .001978604
       103        204         16       1013         3691           1865345 .001978722
       102        202         11       1093         3662           1850494 .001978931
       103        202         17       1055         3665           1851415 .001979567
       102        201         13       1038         3647           1842160 .001979741
       102        201         14       1003         3700           1868309   .0019804
       103        204         13       1059         3653           1844543 .001980436
       103        201         18       1032         3685           1860696 .001980442
       102        202         18       1091         3674           1855012  .00198058
       102        203         18       1075         3675           1855012 .001981119
       103        201         14       1013         3681           1857434 .001981766
       103        204         10       1035         3644           1838179 .001982397
       103        202         16       1031         3698           1865345 .001982475
       101        203         17       1074         3687           1859788 .001982484
       102        204         17       1016         3657           1844241  .00198293
       102        203         17       1074         3657           1844241  .00198293
       102        201         18       1038         3679           1855012 .001983276
       103        204         14       1047         3686           1857434 .001984458
       101        202         12       1099         3685           1856359 .001985069
       101        203         12       1038         3687           1856359 .001986146
       101        203         18       1074         3670           1847731  .00198622
       101        201         17       1085         3694           1859788 .001986248
       101        203         11       1029         3663           1843273 .001987226
       102        204         10       1056         3692           1857548 .001987566
       102        203         15       1067         3663           1842759  .00198778
       101        202         16       1092         3685           1852607 .001989089
       101        201         17       1043         3700           1859788 .001989474
       101        202         10       1086         3693           1856153 .001989599
       103        203         12       1075         3674           1846140 .001990098
       103        202         14       1042         3697           1857434  .00199038
       101        204         14       1028         3672           1844866 .001990388
       102        202         13       1027         3667           1842160 .001990598
       103        202         13       1003         3673           1844543 .001991279
       102        202         10       1005         3699           1857548 .001991335
       102        202         11       1003         3685           1850494  .00199136
       102        201         15       1086         3670           1842759 .001991579
       103        201         15       1067         3715           1865283 .001991655
       103        201         10       1074         3662           1838179 .001992189
       101        203         16       1072         3691           1852607 .001992328
       102        203         18       1023         3697           1855012 .001992979
       101        202         10       1033         3700           1856153  .00199337
       102        202         15       1078         3674           1842759  .00199375
       102        202         16       1063         3679           1845178 .001993846
       101        202         10       1011         3701           1856153 .001993909
       103        203         16       1007         3720           1865345 .001994269
       102        202         14       1041         3726           1868309 .001994317
       103        203         10       1018         3666           1838179 .001994365
       103        201         12       1050         3682           1846140 .001994432
       103        202         17       1020         3693           1851415 .001994691
       101        202         12       1055         3703           1856359 .001994765
       101        203         12       1067         3703           1856359 .001994765
       101        203         18       1025         3686           1847731 .001994879
       101        202         14       1032         3681           1844866 .001995267
       103        201         13       1040         3681           1844543 .001995616
       101        202         17       1050         3712           1859788 .001995926
       101        203         18       1053         3688           1847731 .001995962
       102        203         18       1014         3703           1855012 .001996214
       101        202         11       1062         3682           1843273 .001997534
       103        203         15       1008         3727           1865283 .001998088
       103        202         12       1059         3690           1846140 .001998765
       101        201         16       1031         3703           1852607 .001998805
       102        203         10       1063         3713           1857548 .001998872
       103        204         14       1037         3713           1857434 .001998994
       102        201         18       1043         3709           1855012 .001999448
       103        201         14       1076         3714           1857434 .001999533
       103        203         17       1045         3703           1851415 .002000092
       103        202         16       1013         3731           1865345 .002000166
       101        203         11       1021         3688           1843273 .002000789
       101        202         11       1084         3689           1843273 .002001331
       102        204         15       1099         3688           1842759 .002001347
       102        201         15       1057         3689           1842759  .00200189
       103        204         10       1077         3680           1838179 .002001981
       101        202         13       1033         3697           1846182 .002002511
       102        204         16       1088         3695           1845178 .002002517
       102        202         13       1021         3689           1842160  .00200254
       101        203         13       1051         3699           1846182 .002003594
       102        202         11       1018         3708           1850494 .002003789
       101        201         17       1079         3727           1859788 .002003992
       103        203         10       1093         3684           1838179 .002004157
       102        204         18       1018         3719           1855012 .002004839
       101        204         15       1078         3736           1863293 .002005052
       102        204         17       1028         3698           1844241 .002005161
       103        201         12       1063         3702           1846140 .002005265
       102        203         11       1034         3712           1850494 .002005951
       101        204         14       1054         3701           1844866 .002006108
       102        203         13       1043         3696           1842160  .00200634
       102        203         10       1013         3728           1857548 .002006947
       103        202         13       1038         3702           1844543 .002007001
       101        203         18       1027         3709           1847731 .002007327
       101        202         15       1026         3741           1863293 .002007736
       102        204         17       1049         3703           1844241 .002007872
       102        203         16       1034         3705           1845178 .002007936
       102        204         12       1005         3714           1849090 .002008556
       101        204         12       1055         3729           1856359 .002008771
       102        204         16       1037         3707           1845178  .00200902
       102        201         14       1029         3754           1868309 .002009304
       102        204         14       1050         3754           1868309 .002009304
       101        202         11       1027         3704           1843273 .002009469
       101        201         11       1070         3705           1843273 .002010012
       102        203         17       1005         3707           1844241 .002010041
       102        201         16       1018         3709           1845178 .002010104
       103        203         12       1095         3711           1846140  .00201014
       103        204         15       1015         3750           1865283 .002010419
       101        203         14       1078         3712           1844866  .00201207
       101        203         18       1098         3718           1847731 .002012198
       102        203         16       1059         3713           1845178 .002012272
       103        204         15       1072         3754           1865283 .002012563
       101        201         18       1039         3720           1847731  .00201328
       102        202         15       1094         3710           1842759 .002013286
       102        201         17       1077         3713           1844241 .002013294
       101        204         10       1056         3737           1856153 .002013304
       101        201         13       1055         3717           1846182 .002013344
       101        201         11       1064         3712           1843273 .002013809
       101        202         16       1067         3731           1852607 .002013919
       102        203         15       1043         3712           1842759 .002014371
       103        201         13       1027         3716           1844543 .002014591
       102        204         11       1025         3728           1850494 .002014597
       103        204         16       1031         3758           1865345 .002014641
       101        204         17       1055         3747           1859788 .002014746
       103        201         11       1081         3703           1837811 .002014897
       102        202         12       1061         3726           1849090 .002015045
       102        201         18       1026         3738           1855012 .002015081
       102        202         11       1058         3729           1850494 .002015138
       102        203         11       1061         3729           1850494 .002015138
       103        202         15       1098         3759           1865283 .002015244
       102        202         17       1057         3717           1844241 .002015463
       101        202         16       1010         3734           1852607 .002015538
       103        203         10       1035         3705           1838179 .002015582
       101        202         15       1054         3756           1863293 .002015786
       101        203         14       1012         3719           1844866 .002015865
       102        204         12       1079         3728           1849090 .002016127
       103        202         14       1015         3745           1857434 .002016222
       102        202         10       1006         3746           1857548 .002016637
       101        203         18       1089         3727           1847731 .002017069
       102        203         11       1005         3733           1850494 .002017299
       103        202         12       1005         3725           1846140 .002017723
       103        201         15       1070         3764           1865283 .002017924
       103        204         12       1064         3726           1846140 .002018265
       102        202         13       1060         3718           1842160 .002018283
       103        203         11       1025         3711           1837811  .00201925
       101        203         13       1094         3728           1846182 .002019303
       103        203         16       1069         3767           1865345 .002019466
       103        202         10       1082         3713           1838179 .002019934
       101        202         10       1072         3750           1856153 .002020308
       101        201         11       1073         3724           1843273 .002020319
       102        202         14       1028         3775           1868309 .002020544
       101        204         11       1016         3725           1843273 .002020862
       101        201         11       1056         3725           1843273 .002020862
       103        203         15       1074         3770           1865283 .002021141
       103        203         17       1091         3743           1851415 .002021697
       101        204         11       1051         3727           1843273 .002021947
       101        201         12       1073         3755           1856359 .002022777
       103        201         17       1026         3746           1851415 .002023317
       102        201         10       1098         3760           1857548 .002024174
       103        201         11       1050         3721           1837811 .002024691
       101        203         16       1068         3751           1852607 .002024714
       103        202         12       1077         3738           1846140 .002024765
       102        202         12       1028         3744           1849090  .00202478
       101        203         11       1093         3733           1843273 .002025202
       101        203         16       1050         3752           1852607 .002025254
       102        202         12       1074         3745           1849090 .002025321
       101        204         13       1049         3740           1846182 .002025802
       103        202         15       1001         3780           1865283 .002026502
       101        202         17       1092         3769           1859788 .002026575
       102        201         10       1064         3765           1857548 .002026866
       102        201         18       1025         3760           1855012 .002026941
       101        203         14       1035         3740           1844866 .002027248
       102        203         15       1021         3736           1842759 .002027395
       101        203         13       1081         3743           1846182 .002027427
       103        202         10       1013         3727           1838179  .00202755
       101        201         12       1032         3764           1856359 .002027625
       101        202         16       1009         3757           1852607 .002027953
       101        201         16       1045         3757           1852607 .002027953
       102        201         17       1019         3741           1844241 .002028477
       102        203         10       1016         3768           1857548 .002028481
       101        204         10       1051         3766           1856153 .002028928
       102        204         10       1015         3770           1857548 .002029557
       102        201         15       1030         3741           1842759 .002030108
       103        203         11       1006         3731           1837811 .002030133
       102        204         10       1093         3772           1857548 .002030634
       101        202         10       1051         3770           1856153 .002031083
       101        201         11       1002         3744           1843273  .00203117
       102        203         16       1008         3748           1845178  .00203124
       103        204         14       1075         3774           1857434 .002031835
       101        203         12       1046         3772           1856359 .002031935
       101        202         17       1075         3779           1859788 .002031952
